episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,298.01942463880005,214,True,False,True
2,1001,280.62716351061937,197,True,False,True
3,1002,268.07730569059237,305,True,False,True
4,1003,276.72701143135055,218,True,False,True
5,1004,299.3403059779596,202,True,False,True
6,1005,251.32696104174656,209,True,False,True
7,1006,293.83490213905236,188,True,False,True
8,1007,285.5409200183889,202,True,False,True
9,1008,240.94503705676948,363,True,False,True
10,1009,132.51737773085497,1000,False,True,False
11,1010,312.6806653011748,243,True,False,True
12,1011,209.217025430378,420,True,False,True
13,1012,262.6298442614943,198,True,False,True
14,1013,269.66225876319623,250,True,False,True
15,1014,257.62740202214843,180,True,False,True
16,1015,291.24406976807023,247,True,False,True
17,1016,263.37970811408314,192,True,False,True
18,1017,260.3101398950993,229,True,False,True
19,1018,171.38917938891709,1000,False,True,False
20,1019,282.6479451107408,188,True,False,True
21,1020,308.3524180358256,233,True,False,True
22,1021,249.545714158617,361,True,False,True
23,1022,156.6925492753742,1000,False,True,False
24,1023,264.46049180502246,217,True,False,True
25,1024,306.7351771273859,212,True,False,True
26,1025,245.15045938108437,425,True,False,True
27,1026,293.50245853035915,207,True,False,True
28,1027,97.72552768677542,1000,False,True,False
29,1028,165.7694872222727,1000,False,True,False
30,1029,272.8282400454334,202,True,False,True
31,1030,243.54223631051266,391,True,False,True
32,1031,287.1245747626466,218,True,False,True
33,1032,182.8258109243083,1000,False,True,False
34,1033,162.98413406546277,1000,False,True,False
35,1034,284.3533100537417,194,True,False,True
36,1035,274.24541780312717,182,True,False,True
37,1036,267.11888772194453,239,True,False,True
38,1037,280.5530550506738,281,True,False,True
39,1038,292.0226760123421,190,True,False,True
40,1039,285.5273034804145,194,True,False,True
41,1040,291.92930334877036,219,True,False,True
42,1041,167.361377711836,1000,False,True,False
43,1042,58.27062797724747,117,True,False,False
44,1043,261.3233157325278,175,True,False,True
45,1044,237.7359437024158,240,True,False,True
46,1045,305.09965290495916,226,True,False,True
47,1046,270.1496097246334,205,True,False,True
48,1047,304.22210722699526,191,True,False,True
49,1048,285.9737168921522,240,True,False,True
50,1049,287.6632993724562,187,True,False,True
51,1050,265.6891379742267,198,True,False,True
52,1051,185.75794784626962,1000,False,True,False
53,1052,169.66799717354425,1000,False,True,False
54,1053,246.70824430846446,217,True,False,True
55,1054,41.45941558765787,131,True,False,False
56,1055,150.36868391377925,1000,False,True,False
57,1056,287.7616316395346,172,True,False,True
58,1057,285.18001658452056,193,True,False,True
59,1058,295.42200700572664,198,True,False,True
60,1059,288.16964585710116,200,True,False,True
61,1060,249.26824272557633,701,True,False,True
62,1061,256.3928806201054,280,True,False,True
63,1062,278.15188167536144,173,True,False,True
64,1063,265.23899152706224,242,True,False,True
65,1064,254.08830337803136,249,True,False,True
66,1065,278.9808912631919,213,True,False,True
67,1066,265.49822491023576,226,True,False,True
68,1067,272.54622827663394,167,True,False,True
69,1068,263.8658543358042,248,True,False,True
70,1069,286.4626208089332,185,True,False,True
71,1070,170.58368868886566,1000,False,True,False
72,1071,311.3331533588983,172,True,False,True
73,1072,290.62006980673874,223,True,False,True
74,1073,303.9383411725465,181,True,False,True
75,1074,273.0222494566433,206,True,False,True
76,1075,263.80117781327954,186,True,False,True
77,1076,236.45738824036752,701,True,False,True
78,1077,231.96150424439247,231,True,False,True
79,1078,269.0015118761694,213,True,False,True
80,1079,260.514528192931,208,True,False,True
81,1080,295.3846077025088,211,True,False,True
82,1081,284.6759625911074,202,True,False,True
83,1082,274.92626929991513,178,True,False,True
84,1083,224.07614823269003,325,True,False,True
85,1084,269.0326074523085,220,True,False,True
86,1085,275.08181210694414,179,True,False,True
87,1086,264.01907229296296,191,True,False,True
88,1087,292.3689698940799,211,True,False,True
89,1088,253.3336722743485,242,True,False,True
90,1089,290.2199858501301,318,True,False,True
91,1090,226.61642266466234,213,True,False,True
92,1091,222.3935438135082,333,True,False,True
93,1092,261.4677261940176,195,True,False,True
94,1093,228.76776794313398,230,True,False,True
95,1094,279.6586671999235,193,True,False,True
96,1095,256.70271319190715,262,True,False,True
97,1096,163.9434718479913,1000,False,True,False
98,1097,274.79243921942566,216,True,False,True
99,1098,283.1208451206305,187,True,False,True
100,1099,258.5170686827191,221,True,False,True
