episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,235.58909062878922,583,True,False,True
2,1001,247.8936283213651,368,True,False,True
3,1002,226.28960093155735,575,True,False,True
4,1003,244.09903518224942,417,True,False,True
5,1004,269.47426433250354,367,True,False,True
6,1005,208.26096492228692,490,True,False,True
7,1006,266.30408677582943,347,True,False,True
8,1007,261.8180811152714,306,True,False,True
9,1008,236.5616502273865,383,True,False,True
10,1009,245.59872969573516,352,True,False,True
11,1010,283.500780444857,436,True,False,True
12,1011,193.32038691787656,509,True,False,False
13,1012,225.01489045366463,400,True,False,True
14,1013,300.04173075470527,281,True,False,True
15,1014,193.0078194998503,538,True,False,False
16,1015,274.487977310425,348,True,False,True
17,1016,220.3654164460596,445,True,False,True
18,1017,239.3169576138358,447,True,False,True
19,1018,252.03498174756137,470,True,False,True
20,1019,233.71496062409494,488,True,False,True
21,1020,275.04655241856165,428,True,False,True
22,1021,221.77287484347042,561,True,False,True
23,1022,258.5833330524877,391,True,False,True
24,1023,218.5843163312253,466,True,False,True
25,1024,287.7971887981311,320,True,False,True
26,1025,242.23123237007792,449,True,False,True
27,1026,278.52721523096534,353,True,False,True
28,1027,234.37148481755094,399,True,False,True
29,1028,251.87823972622638,383,True,False,True
30,1029,225.2158616055378,504,True,False,True
31,1030,238.88787951407636,420,True,False,True
32,1031,240.9975966132214,488,True,False,True
33,1032,275.80109356914215,325,True,False,True
34,1033,235.54000750070338,448,True,False,True
35,1034,231.6318438563542,500,True,False,True
36,1035,206.54626551689108,546,True,False,True
37,1036,233.63814537585142,449,True,False,True
38,1037,282.60739211332435,382,True,False,True
39,1038,247.4325159103012,443,True,False,True
40,1039,248.01741836314696,428,True,False,True
41,1040,256.22086311306504,376,True,False,True
42,1041,250.8028078264299,458,True,False,True
43,1042,263.1736723341366,404,True,False,True
44,1043,215.3438585797386,423,True,False,True
45,1044,203.9814344268821,441,True,False,True
46,1045,285.0656742866746,397,True,False,True
47,1046,231.5072656943034,452,True,False,True
48,1047,270.96796254394974,382,True,False,True
49,1048,267.308982385727,389,True,False,True
50,1049,246.84901072777865,419,True,False,True
51,1050,211.3083668668704,511,True,False,True
52,1051,277.0268415514798,361,True,False,True
53,1052,243.62260043142254,507,True,False,True
54,1053,221.04949124291528,370,True,False,True
55,1054,302.44176642260163,251,True,False,True
56,1055,233.21309472996532,488,True,False,True
57,1056,239.6984370175984,436,True,False,True
58,1057,206.06701594640876,645,True,False,True
59,1058,266.54690204089525,347,True,False,True
60,1059,251.63949927151424,428,True,False,True
61,1060,212.60457321531,483,True,False,True
62,1061,224.66145900784534,465,True,False,True
63,1062,230.0951731374811,457,True,False,True
64,1063,248.36993347481118,367,True,False,True
65,1064,224.51256259868393,448,True,False,True
66,1065,228.56186605064426,525,True,False,True
67,1066,243.55493273272026,354,True,False,True
68,1067,225.32568675188162,461,True,False,True
69,1068,247.59998890530267,426,True,False,True
70,1069,241.05704986883245,441,True,False,True
71,1070,257.0258426711428,413,True,False,True
72,1071,268.46651844297276,364,True,False,True
73,1072,256.1301660911986,412,True,False,True
74,1073,260.27382622261325,434,True,False,True
75,1074,196.91543359459646,635,True,False,False
76,1075,199.81195977121553,559,True,False,False
77,1076,230.01629126082415,439,True,False,True
78,1077,196.0070147821093,442,True,False,False
79,1078,247.9488460910685,395,True,False,True
80,1079,209.04158555938412,499,True,False,True
81,1080,273.5141179311174,414,True,False,True
82,1081,257.51332397339456,389,True,False,True
83,1082,225.72587309826946,473,True,False,True
84,1083,203.89250303347495,457,True,False,True
85,1084,250.44238162512897,308,True,False,True
86,1085,219.2682088315473,496,True,False,True
87,1086,213.7126864017811,470,True,False,True
88,1087,243.79585977878452,467,True,False,True
89,1088,224.83594050561965,403,True,False,True
90,1089,265.09630429555295,439,True,False,True
91,1090,187.9189511949295,446,True,False,False
92,1091,195.66303030916032,483,True,False,False
93,1092,227.23596028763427,372,True,False,True
94,1093,186.79095455006149,493,True,False,False
95,1094,238.7847753874143,427,True,False,True
96,1095,231.9508755667099,414,True,False,True
97,1096,246.8500468169282,385,True,False,True
98,1097,240.01618851230515,398,True,False,True
99,1098,249.24077229255073,383,True,False,True
100,1099,218.1316906615554,461,True,False,True
