experiment_name,training_seed,training_episodes,evaluation_episodes,mean_reward,median_reward,reward_standard_deviation,minimum_reward,maximum_reward,solved_count,solved_percentage,training_seconds
fast_epsilon_decay,0,800,100,252.75545765176264,267.59809670626845,52.52194219556282,41.45941558765787,312.6806653011748,85,85.0,728.2579119000584
fast_epsilon_decay,1,800,100,239.84000194198066,239.85731276495176,25.607720750877732,186.79095455006149,302.44176642260163,92,92.0,1019.0942223998718
fast_epsilon_decay,2,800,100,223.7157370081347,256.1667737057246,87.11727822446565,-6.40636008904166,309.6832993853999,81,81.0,775.0698968998622
gradual_epsilon_decay,0,800,100,222.415784562048,246.20490888194547,63.84178031370677,14.76158522964775,305.5891117221345,75,75.0,793.2480916001368
gradual_epsilon_decay,1,800,100,252.32311502792783,258.18246174295547,39.27535884670733,126.47817447875542,312.547467693483,90,90.0,814.9301324000116
gradual_epsilon_decay,2,800,100,104.08317190421211,80.67262764096914,85.8414484530214,-36.823222113698726,275.1488511152975,17,17.0,927.7877989001572
