episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,80.00755057047155,1000,False,True,False
2,1001,161.91395746273875,847,True,False,False
3,1002,74.39771558302405,1000,False,True,False
4,1003,4.148395224805948,1000,False,True,False
5,1004,51.87912222691085,225,True,False,False
6,1005,108.83097660499978,1000,False,True,False
7,1006,58.475488397969656,215,True,False,False
8,1007,-4.358790377907426,1000,False,True,False
9,1008,-18.48379464067608,1000,False,True,False
10,1009,160.71592507211665,834,True,False,False
11,1010,81.33770471146673,258,True,False,False
12,1011,-36.55749800545815,1000,False,True,False
13,1012,-26.39373857892192,1000,False,True,False
14,1013,21.860197111301584,1000,False,True,False
15,1014,30.36783764128439,1000,False,True,False
16,1015,128.24332863240218,1000,False,True,False
17,1016,-17.189620169746973,1000,False,True,False
18,1017,153.13358889979722,904,True,False,False
19,1018,-4.781456062182315,228,True,False,False
20,1019,228.15347997246886,492,True,False,True
21,1020,66.86771477141119,241,True,False,False
22,1021,61.51604770054936,1000,False,True,False
23,1022,121.66147066090689,1000,False,True,False
24,1023,60.997101376647386,1000,False,True,False
25,1024,73.4782308720735,1000,False,True,False
26,1025,210.48330647617595,928,True,False,True
27,1026,275.1488511152975,356,True,False,True
28,1027,222.71585564946946,511,True,False,True
29,1028,257.0691775713329,828,True,False,True
30,1029,43.71096089981555,207,True,False,False
31,1030,205.57148756770022,653,True,False,True
32,1031,168.48056825668118,1000,False,True,False
33,1032,-0.23834538695868446,215,True,False,False
34,1033,51.46524473386529,203,True,False,False
35,1034,274.1196018353779,251,True,False,True
36,1035,-36.823222113698726,1000,False,True,False
37,1036,0.13155888397145343,1000,False,True,False
38,1037,28.13237382790689,1000,False,True,False
39,1038,114.55088336744612,1000,False,True,False
40,1039,47.51984278821786,223,True,False,False
41,1040,235.1807299503863,415,True,False,True
42,1041,151.85556904221534,1000,False,True,False
43,1042,255.87367739509946,541,True,False,True
44,1043,192.35806873383092,546,True,False,False
45,1044,179.86827123984224,572,True,False,False
46,1045,34.56889398687392,1000,False,True,False
47,1046,47.57698618098318,1000,False,True,False
48,1047,183.505086488226,972,True,False,False
49,1048,50.84302363784201,1000,False,True,False
50,1049,4.331535197859088,1000,False,True,False
51,1050,35.8207905139121,179,True,False,False
52,1051,64.87025631815408,230,True,False,False
53,1052,115.49987737931207,1000,False,True,False
54,1053,164.6129003138393,684,True,False,False
55,1054,141.56973879907304,1000,False,True,False
56,1055,-4.912749274937247,1000,False,True,False
57,1056,37.836780242475044,188,True,False,False
58,1057,120.25424245925072,1000,False,True,False
59,1058,7.221209705034276,1000,False,True,False
60,1059,73.22056283776027,1000,False,True,False
61,1060,186.08340156188018,619,True,False,False
62,1061,69.30896742029634,1000,False,True,False
63,1062,248.8943044481061,672,True,False,True
64,1063,34.59264252681739,1000,False,True,False
65,1064,52.152945164235945,1000,False,True,False
66,1065,186.65720479168937,757,True,False,False
67,1066,68.30731070050209,1000,False,True,False
68,1067,64.665405161391,1000,False,True,False
69,1068,88.71945465362856,1000,False,True,False
70,1069,161.8495199271569,1000,False,True,False
71,1070,139.32612962961738,1000,False,True,False
72,1071,39.292248004398886,204,True,False,False
73,1072,205.1093380451647,922,True,False,True
74,1073,64.01702999681387,194,True,False,False
75,1074,272.7212156584734,261,True,False,True
76,1075,95.84092529424282,1000,False,True,False
77,1076,244.2919910209875,343,True,False,True
78,1077,129.76575118085427,776,True,False,False
79,1078,9.767963920260572,1000,False,True,False
80,1079,187.84257840904752,639,True,False,False
81,1080,144.30286464045378,1000,False,True,False
82,1081,187.0657399388955,755,True,False,False
83,1082,91.82495655259187,1000,False,True,False
84,1083,57.39971660882211,1000,False,True,False
85,1084,-14.754537760681654,1000,False,True,False
86,1085,43.5070488908739,1000,False,True,False
87,1086,244.53303188668198,278,True,False,True
88,1087,57.33941941632858,217,True,False,False
89,1088,170.43064329107014,688,True,False,False
90,1089,129.79062139894833,1000,False,True,False
91,1090,-4.971984004939754,1000,False,True,False
92,1091,47.683876765306124,1000,False,True,False
93,1092,210.223503534788,465,True,False,True
94,1093,189.0004975560527,477,True,False,False
95,1094,107.27061478209924,1000,False,True,False
96,1095,19.570320580502532,1000,False,True,False
97,1096,262.16907419210906,853,True,False,True
98,1097,-15.042068936067334,1000,False,True,False
99,1098,156.70033644250265,1000,False,True,False
100,1099,200.85265485122184,677,True,False,True
