episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,259.5297056630813,369,True,False,True
2,1001,273.887577014208,210,True,False,True
3,1002,247.51242622622715,313,True,False,True
4,1003,269.6604331489906,235,True,False,True
5,1004,170.2720584065811,1000,False,True,False
6,1005,226.0613758464812,346,True,False,True
7,1006,272.91915039418274,231,True,False,True
8,1007,260.7085224469174,266,True,False,True
9,1008,226.05233068285943,416,True,False,True
10,1009,122.15096029773814,1000,False,True,False
11,1010,34.76327587661012,183,True,False,False
12,1011,243.10653962903325,223,True,False,True
13,1012,126.72951531532314,1000,False,True,False
14,1013,293.61883980133337,442,True,False,True
15,1014,114.96256057740656,1000,False,True,False
16,1015,272.4772490154555,326,True,False,True
17,1016,225.48911655735452,384,True,False,True
18,1017,263.5392483459874,280,True,False,True
19,1018,148.1642218020761,1000,False,True,False
20,1019,260.33899172838517,271,True,False,True
21,1020,113.43498168469633,1000,False,True,False
22,1021,95.59138477616563,1000,False,True,False
23,1022,145.11471822260094,1000,False,True,False
24,1023,110.4264486922051,1000,False,True,False
25,1024,289.0967323400804,279,True,False,True
26,1025,283.25781720753463,196,True,False,True
27,1026,293.2764973425019,246,True,False,True
28,1027,256.37450353064503,280,True,False,True
29,1028,251.37917323171456,238,True,False,True
30,1029,187.99733720670673,264,True,False,False
31,1030,111.98771680913224,1000,False,True,False
32,1031,248.99192358792635,313,True,False,True
33,1032,281.7763585442122,763,True,False,True
34,1033,160.33944131465455,1000,False,True,False
35,1034,134.00328991858646,1000,False,True,False
36,1035,241.99135907366272,447,True,False,True
37,1036,254.03997644099192,317,True,False,True
38,1037,168.59278577498463,1000,False,True,False
39,1038,254.80171059904646,265,True,False,True
40,1039,242.9708949987773,344,True,False,True
41,1040,218.92660857215884,561,True,False,True
42,1041,216.0730063046131,307,True,False,True
43,1042,303.1882527071033,217,True,False,True
44,1043,259.2543360418098,170,True,False,True
45,1044,236.17324718926602,229,True,False,True
46,1045,27.298151066395008,187,True,False,False
47,1046,244.89739153766376,310,True,False,True
48,1047,296.59408159044983,224,True,False,True
49,1048,267.8620133140771,332,True,False,True
50,1049,263.1199267707625,300,True,False,True
51,1050,139.93417880167516,1000,False,True,False
52,1051,165.23936790420228,1000,False,True,False
53,1052,259.1297306761578,331,True,False,True
54,1053,242.70007583964227,224,True,False,True
55,1054,292.7772759775546,248,True,False,True
56,1055,251.7399174851574,351,True,False,True
57,1056,254.22146970232723,268,True,False,True
58,1057,235.03700336979176,331,True,False,True
59,1058,249.0737838106211,363,True,False,True
60,1059,251.451195857443,342,True,False,True
61,1060,260.04225868310357,199,True,False,True
62,1061,250.29451001781908,286,True,False,True
63,1062,250.7133811743557,324,True,False,True
64,1063,213.1644428773379,507,True,False,True
65,1064,234.65268688948376,331,True,False,True
66,1065,235.24542416343323,452,True,False,True
67,1066,267.2912352861445,217,True,False,True
68,1067,266.44300310613056,193,True,False,True
69,1068,258.75025672212684,546,True,False,True
70,1069,105.87939844857684,1000,False,True,False
71,1070,119.67417187558972,1000,False,True,False
72,1071,185.90393526830587,1000,False,True,False
73,1072,265.2063728966251,501,True,False,True
74,1073,290.7448918147078,208,True,False,True
75,1074,14.76158522964775,183,True,False,False
76,1075,127.48527438792799,1000,False,True,False
77,1076,266.5748291013866,209,True,False,True
78,1077,235.46900071578816,220,True,False,True
79,1078,269.3152217781047,248,True,False,True
80,1079,259.8918425921097,208,True,False,True
81,1080,305.5891117221345,211,True,False,True
82,1081,270.98339129937074,446,True,False,True
83,1082,253.39527646575021,248,True,False,True
84,1083,221.66214713867615,304,True,False,True
85,1084,199.4802288465738,588,True,False,False
86,1085,251.98174619212529,232,True,False,True
87,1086,233.38734761736674,306,True,False,True
88,1087,267.0116802912356,273,True,False,True
89,1088,253.70456009262244,222,True,False,True
90,1089,200.4089585790345,760,True,False,True
91,1090,231.75681683998351,204,True,False,True
92,1091,243.88825568284975,205,True,False,True
93,1092,252.3927307065869,236,True,False,True
94,1093,227.70047724817593,261,True,False,True
95,1094,107.43514790408872,1000,False,True,False
96,1095,252.8908935613731,277,True,False,True
97,1096,210.1664294417292,700,True,False,True
98,1097,286.2447110399803,160,True,False,True
99,1098,237.29815434607085,492,True,False,True
100,1099,244.61650356843674,280,True,False,True
