episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
1,0,0,-189.96273012656917,66,1.0,,66,66,True,False,False,0.010823399992659688
2,0,1,-426.516649647037,130,0.995,,196,196,True,False,False,0.030213600024580956
3,0,2,-121.44835553455417,93,0.990025,,289,289,True,False,False,0.0447219000197947
4,0,3,-115.03371445205755,88,0.985074875,,377,377,True,False,False,0.05930560012347996
5,0,4,-252.74117309339692,129,0.980149500625,,506,506,True,False,False,0.08024350018240511
6,0,5,-363.75166214025955,131,0.975248753121875,,637,637,True,False,False,0.10190950008109212
7,0,6,-273.01127200779405,96,0.9703725093562656,,733,733,True,False,False,0.11746209999546409
8,0,7,-25.73937452755122,97,0.9655206468094842,,830,830,True,False,False,0.13394910003989935
9,0,8,-60.90379084231861,77,0.9606930435754368,,907,907,True,False,False,0.14542559999972582
10,0,9,-238.72478617009764,91,0.9558895783575596,,998,998,True,False,False,0.15914090001024306
11,0,10,-126.07038272513374,108,0.9511101304657719,2.7463317112387897,1106,1106,True,False,False,0.36844670004211366
12,0,11,-70.32647245161276,86,0.946354579813443,2.072997112606847,1192,1192,True,False,False,0.537144600180909
13,0,12,-231.66565045174548,77,0.9416228069143757,2.008175510090667,1269,1269,True,False,False,0.7016909001395106
14,0,13,-14.298080046558056,97,0.9369146928798039,1.738745988337035,1366,1366,True,False,False,0.8938080000225455
15,0,14,-3.282871317977211,126,0.9322301194154049,1.7379804669864594,1492,1492,True,False,False,1.1558865001425147
16,0,15,-298.4291945350808,120,0.9275689688183278,1.6904417462646961,1612,1612,True,False,False,1.4527724001090974
17,0,16,-66.19724226237558,111,0.9229311239742362,1.6650695253062893,1723,1723,True,False,False,1.6404009000398219
18,0,17,-329.76693952069775,105,0.918316468354365,1.6463938412212191,1828,1828,True,False,False,1.874102700036019
19,0,18,-239.71355137275393,106,0.9137248860125932,1.609563356019416,1934,1934,True,False,False,2.0938117001205683
20,0,19,-112.67619791832045,99,0.9091562615825302,1.7284919110813526,2033,2033,True,False,False,2.2661292999982834
21,0,20,-61.106771505598275,77,0.9046104802746175,1.7020764676007358,2110,2110,True,False,False,2.4382766999769956
22,0,21,-84.6065880436485,73,0.9000874278732445,1.7397683556765726,2183,2183,True,False,False,2.592089100042358
23,0,22,-171.9343683685861,96,0.8955869907338783,1.570648974739015,2279,2279,True,False,False,2.7814754999708384
24,0,23,-79.42005986689998,94,0.8911090557802088,1.6802011623661568,2373,2373,True,False,False,2.9811413001734763
25,0,24,-59.31180731689019,62,0.8866535105013078,1.3844132327264356,2435,2435,True,False,False,3.1138210999779403
26,0,25,-250.4240386070355,112,0.8822202429488012,1.6002460268459149,2547,2547,True,False,False,3.3743952000513673
27,0,26,-260.8966398213093,90,0.8778091417340572,1.6824813485145569,2637,2637,True,False,False,3.5748737000394613
28,0,27,-157.89642781017014,153,0.873420096025387,1.5727922135318806,2790,2790,True,False,False,3.9337657000869513
29,0,28,-96.44955922474374,69,0.86905299554526,1.6717010477314824,2859,2859,True,False,False,4.092175600118935
30,0,29,-163.24599126129448,101,0.8647077305675337,1.60464408285547,2960,2960,True,False,False,4.345573500031605
31,0,30,-191.83420224932956,79,0.8603841919146961,1.8092374079212357,3039,3039,True,False,False,4.533550600055605
32,0,31,-219.3502498033958,70,0.8560822709551226,1.7438564722027097,3109,3109,True,False,False,4.666953000007197
33,0,32,-149.39855777798425,128,0.8518018596003469,1.6377427093684673,3237,3237,True,False,False,4.946246900130063
34,0,33,-88.38588264087163,90,0.8475428503023452,1.6497603957851728,3327,3327,True,False,False,5.124764200067148
35,0,34,-180.18275595725527,71,0.8433051360508335,1.731304644698828,3398,3398,True,False,False,5.289686300093308
36,0,35,-171.93434819226715,66,0.8390886103705792,1.7249487814578144,3464,3464,True,False,False,5.454102799994871
37,0,36,-186.47947876741034,144,0.8348931673187264,1.6125041325059202,3608,3608,True,False,False,5.763418700080365
38,0,37,-79.01551334346847,71,0.8307187014821328,1.603669867129393,3679,3679,True,False,False,5.95692120003514
39,0,38,-55.33526768491642,119,0.826565107974722,1.764582103040038,3798,3798,True,False,False,6.225215699989349
