episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
1,0,0,-189.96273012656917,66,1.0,,66,66,True,False,False,0.00831149984151125
2,0,1,-230.3999804469702,113,0.98,,179,179,True,False,False,0.022861700039356947
3,0,2,-252.6906232406614,91,0.9603999999999999,,270,270,True,False,False,0.0341735000256449
4,0,3,-114.41204038157429,90,0.9411919999999999,,360,360,True,False,False,0.044941999949514866
5,0,4,-343.490004546666,122,0.9223681599999999,,482,482,True,False,False,0.05951169994659722
6,0,5,-88.5704142202097,121,0.9039207967999999,,603,603,True,False,False,0.07623389991931617
7,0,6,-352.2607984962075,90,0.8858423808639999,,693,693,True,False,False,0.08714109985157847
8,0,7,-114.95296473371712,88,0.8681255332467199,,781,781,True,False,False,0.09804479987360537
9,0,8,-143.74972201455893,68,0.8507630225817855,,849,849,True,False,False,0.10643839999102056
10,0,9,-107.15752091686812,106,0.8337477621301498,,955,955,True,False,False,0.1195121998898685
11,0,10,-92.87325396351659,110,0.8170728068875467,2.407192695321459,1065,1065,True,False,False,0.2897117999382317
12,0,11,-67.70926972929328,107,0.8007313507497958,2.0899960186993964,1172,1172,True,False,False,0.5027345998678356
13,0,12,-202.84878718631123,82,0.7847167237347998,1.8842250072374576,1254,1254,True,False,False,0.6420300998724997
14,0,13,-80.01648721947195,90,0.7690223892601038,1.86721979909473,1344,1344,True,False,False,0.8486543998587877
15,0,14,-9.992447337396996,167,0.7536419414749017,1.6222282862234971,1511,1511,True,False,False,1.2749230000190437
16,0,15,-111.44101378445941,185,0.7385691026454038,1.598040459446005,1696,1696,True,False,False,1.7811540998518467
17,0,16,-151.62056142251794,125,0.7237977205924956,1.5912239065170288,1821,1821,True,False,False,2.131603099871427
18,0,17,-47.66151212162078,149,0.7093217661806457,1.4055628456525355,1970,1970,True,False,False,2.58271549991332
19,0,18,-85.77087026323125,161,0.6951353308570327,1.31740900096686,2131,2131,True,False,False,3.097613399848342
20,0,19,-123.62335822614628,149,0.6812326242398921,1.3335090389587736,2280,2280,True,False,False,3.5985739999450743
21,0,20,45.87375176679336,1000,0.6676079717550942,1.5048677325248718,3280,3280,False,True,False,6.356318299891427
22,0,21,-18.288207160622278,74,0.6542558123199923,1.4887521130007666,3354,3354,True,False,False,6.554054399952292
23,0,22,-66.03111637067559,99,0.6411706960735924,1.7129131946900877,3453,3453,True,False,False,6.789194599958137
24,0,23,15.410589559572173,133,0.6283472821521207,1.4961463602861964,3586,3586,True,False,False,7.114734299946576
25,0,24,-37.866661747469166,68,0.6157803365090783,1.602088411064709,3654,3654,True,False,False,7.293968299869448
26,0,25,-89.52807256046768,144,0.6034647297788966,1.6810177266597748,3798,3798,True,False,False,7.732394899940118
27,0,26,-31.984472725955953,130,0.5913954351833187,1.7500957227670229,3928,3928,True,False,False,8.064259100006893
28,0,27,18.641160194879575,245,0.5795675264796523,1.7113245819296157,4173,4173,True,False,False,8.708286999957636
29,0,28,-40.50795082575918,65,0.5679761759500592,1.5369895669130178,4238,4238,True,False,False,8.866308599943295
30,0,29,-132.20353636523043,125,0.5566166524310581,1.71474245595932,4363,4363,True,False,False,9.233152600005269
31,0,30,10.874135070200367,158,0.5454843193824369,1.5563710054642037,4521,4521,True,False,False,9.733996900031343
32,0,31,-38.21509972823165,98,0.5345746329947881,1.6204688473015416,4619,4619,True,False,False,9.962449899874628
33,0,32,-29.901894108705605,345,0.5238831403348924,1.5291530630726746,4964,4964,True,False,False,10.900415699928999
34,0,33,-54.59795624412281,152,0.5134054775281945,1.4622134225148904,5116,5116,True,False,False,11.282625099876896
35,0,34,-30.08897117300444,153,0.5031373679776306,1.379218024755615,5269,5269,True,False,False,11.749284900026396
36,0,35,35.03479943032778,174,0.493074620618078,1.3391916356210052,5443,5443,True,False,False,12.261944700032473
37,0,36,-40.386782098707386,192,0.48321312820571644,1.3534035372237365,5635,5635,True,False,False,12.827553399838507
38,0,37,-12.046299263819577,142,0.4735488656416021,1.2848126462227862,5777,5777,True,False,False,13.167410399997607
39,0,38,-29.16163350102127,375,0.46407788832877,1.2699974970022838,6152,6152,True,False,False,14.202517800033092
40,0,39,-61.244660061858816,132,0.45479633056219465,1.1774258694865487,6284,6284,True,False,False,14.523413799935952
41,0,40,110.32449967619063,1000,0.44570040395095073,1.2078189166784286,7284,7284,False,True,False,16.85928920004517
42,0,41,94.85948879899232,1000,0.4367863958719317,1.087189035654068,8284,8284,False,True,False,19.066848800051957
43,0,42,101.16908862662379,1000,0.42805066795449304,0.9983511263728142,9284,9284,False,True,False,21.376057399902493
44,0,43,1.6736862276502318,1000,0.4194896545954032,0.9907335555255413,10284,10284,False,True,False,23.722554499981925
45,0,44,-76.79686380185069,110,0.41109986150349515,0.9824156482111324,10394,10394,True,False,False,23.97786460001953
46,0,45,0.3573114692180326,169,0.4028778642734252,0.9775125883387391,10563,10563,True,False,False,24.403104200027883
47,0,46,25.210781127369174,78,0.39482030698795667,0.9451165474378146,10641,10641,True,False,False,24.62517090002075
48,0,47,-17.705862129587743,225,0.38692390084819756,0.9972497730784946,10866,10866,True,False,False,25.182844700058922
49,0,48,-204.3887048870664,675,0.3791854228312336,0.9890738280172702,11541,11541,True,False,False,26.538070800015703
50,0,49,-64.77251881248927,1000,0.3716017143746089,0.9621036515533924,12541,12541,False,True,False,28.720696500036865
51,0,50,130.53812655413358,1000,0.36416968008711675,0.9704814309477806,13541,13541,False,True,False,30.993077300023288
52,0,51,-112.95847177897919,177,0.3568862864853744,0.9748026977824626,13718,13718,True,False,False,31.44595089997165
53,0,52,-67.95480175325739,478,0.3497485607556669,0.9420258380379138,14196,14196,True,False,False,32.73089260002598
54,0,53,-3.1234029977526774,151,0.34275358954055357,1.0428357021698098,14347,14347,True,False,False,33.10478499997407
55,0,54,-119.13194929525403,142,0.3358985177497425,0.9456386893567904,14489,14489,True,False,False,33.39445769996382
