episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
1,1,10000,-104.6482953518162,64,1.0,,64,64,True,False,False,0.009924500016495585
2,1,10001,-287.70523551528777,97,0.98,,161,161,True,False,False,0.025272599887102842
3,1,10002,-296.43585822269574,100,0.9603999999999999,,261,261,True,False,False,0.04126990004442632
4,1,10003,-142.75906436334768,73,0.9411919999999999,,334,334,True,False,False,0.05375010007992387
5,1,10004,-143.76869681023322,118,0.9223681599999999,,452,452,True,False,False,0.07518499996513128
6,1,10005,-146.6112356813393,106,0.9039207967999999,,558,558,True,False,False,0.09332429990172386
7,1,10006,-120.06589834668013,94,0.8858423808639999,,652,652,True,False,False,0.11106880009174347
8,1,10007,-113.57251425512621,99,0.8681255332467199,,751,751,True,False,False,0.1287900998722762
9,1,10008,-125.74773929464416,90,0.8507630225817855,,841,841,True,False,False,0.146419599885121
10,1,10009,-277.4079463599356,90,0.8337477621301498,,931,931,True,False,False,0.16174179990775883
11,1,10010,-341.1959549052135,62,0.8170728068875467,,993,993,True,False,False,0.1725598000921309
12,1,10011,-153.55945867716287,90,0.8007313507497958,2.109028181859425,1083,1083,True,False,False,0.340489299967885
13,1,10012,-225.66444401097385,102,0.7847167237347998,1.9007787593439514,1185,1185,True,False,False,0.5750823998823762
14,1,10013,-152.59933899657696,87,0.7690223892601038,1.6578971729881462,1272,1272,True,False,False,0.7832048998679966
15,1,10014,-113.58697001430596,92,0.7536419414749017,1.7739008195374324,1364,1364,True,False,False,1.0020379999186844
16,1,10015,-117.73690263498375,119,0.7385691026454038,1.6012786273695843,1483,1483,True,False,False,1.2880599000491202
17,1,10016,-306.5908093442358,134,0.7237977205924956,1.4701343014169095,1617,1617,True,False,False,1.577428000047803
18,1,10017,-166.56094640117152,73,0.7093217661806457,1.6608611206485802,1690,1690,True,False,False,1.7546542000491172
19,1,10018,-30.770075196967568,93,0.6951353308570327,1.3492142995519023,1783,1783,True,False,False,1.97827750002034
20,1,10019,-186.95035540158807,121,0.6812326242398921,1.2201376485923106,1904,1904,True,False,False,2.290189600083977
21,1,10020,-104.10096406024988,115,0.6676079717550942,1.3253827827132267,2019,2019,True,False,False,2.532710999948904
22,1,10021,-191.1560822503111,119,0.6542558123199923,1.2410986288255001,2138,2138,True,False,False,2.8095197998918593
23,1,10022,-305.49860618469427,155,0.6411706960735924,1.2760581322254674,2293,2293,True,False,False,3.151751199970022
24,1,10023,-116.02404529809513,150,0.6283472821521207,1.2298765959342322,2443,2443,True,False,False,3.503420500084758
25,1,10024,-177.49659714763868,101,0.6157803365090783,1.3372913427872233,2544,2544,True,False,False,3.7107027999591082
26,1,10025,-56.045870470172034,165,0.6034647297788966,1.296437932415442,2709,2709,True,False,False,4.1076426999643445
27,1,10026,-79.3357831618328,304,0.5913954351833187,1.1879655658512522,3013,3013,True,False,False,4.816646599909291
28,1,10027,-42.43280642905441,84,0.5795675264796523,1.0514115441058363,3097,3097,True,False,False,5.0266712999437
29,1,10028,-80.8003621760679,143,0.5679761759500592,1.146052892808314,3240,3240,True,False,False,5.331285800086334
30,1,10029,-103.67761148965974,163,0.5566166524310581,1.2049390865615541,3403,3403,True,False,False,5.745507299900055
31,1,10030,-42.70443074021237,175,0.5454843193824369,1.2723721143177578,3578,3578,True,False,False,6.136829199967906
32,1,10031,-24.901170073038074,206,0.5345746329947881,1.3475519227750092,3784,3784,True,False,False,6.6347371998708695
33,1,10032,-27.63024557715714,102,0.5238831403348924,1.2960082088031022,3886,3886,True,False,False,6.869901000056416
34,1,10033,-6.286712172033717,96,0.5134054775281945,1.27636308905979,3982,3982,True,False,False,7.080862900009379
35,1,10034,-111.46743314323362,340,0.5031373679776306,1.4359972334083388,4322,4322,True,False,False,7.83724829996936
36,1,10035,41.209742491239695,229,0.493074620618078,1.5261410843076664,4551,4551,True,False,False,8.371037499979138
37,1,10036,-23.576966245964627,270,0.48321312820571644,1.480374754689358,4821,4821,True,False,False,8.96820109989494
38,1,10037,-164.81503694042937,332,0.4735488656416021,1.407522221511028,5153,5153,True,False,False,9.729974099900573
39,1,10038,-60.349644197351196,252,0.46407788832877,1.579565481652343,5405,5405,True,False,False,10.293667400022969
40,1,10039,-305.8140627924951,715,0.45479633056219465,1.4750884960998187,6120,6120,True,False,False,11.937596699921414
41,1,10040,-16.96793685685344,145,0.44570040395095073,1.7543569903949212,6265,6265,True,False,False,12.264910500030965
42,1,10041,-69.75783090049148,162,0.4367863958719317,1.6790303315645383,6427,6427,True,False,False,12.630694299936295
43,1,10042,-4.721245233895758,117,0.42805066795449304,1.6557127499682271,6544,6544,True,False,False,12.912951699923724
44,1,10043,-59.87325715354112,139,0.4194896545954032,1.6644247603073394,6683,6683,True,False,False,13.27930389996618
45,1,10044,-145.69980416737616,399,0.41109986150349515,1.63005838604798,7082,7082,True,False,False,14.201886499999091
46,1,10045,-47.2406806597696,138,0.4028778642734252,1.7127266943022825,7220,7220,True,False,False,14.523503399919719
47,1,10046,-93.7889393750738,626,0.39482030698795667,1.6243418644601926,7846,7846,True,False,False,16.0041082999669
48,1,10047,-2.857143264435294,92,0.38692390084819756,1.5106595294631047,7938,7938,True,False,False,16.208246799884364
49,1,10048,-28.567107134329987,119,0.3791854228312336,1.6797628883554154,8057,8057,True,False,False,16.466923600062728
50,1,10049,-6.480013785775924,142,0.3716017143746089,1.6229323667119926,8199,8199,True,False,False,16.811033699894324
51,1,10050,16.092207503997912,114,0.36416968008711675,1.7420224607513661,8313,8313,True,False,False,17.10805490007624
52,1,10051,-7.830445618585614,113,0.3568862864853744,1.7459224045804116,8426,8426,True,False,False,17.37839820003137
53,1,10052,-155.04499766159273,362,0.3497485607556669,1.6900995913790076,8788,8788,True,False,False,18.221509099937975
54,1,10053,-125.20985407421752,288,0.34275358954055357,1.6761966013453073,9076,9076,True,False,False,18.91316349990666
55,1,10054,-9.585094266176455,156,0.3358985177497425,1.6308926235024745,9232,9232,True,False,False,19.26890189992264
56,1,10055,-235.41129358494157,962,0.3291805473947476,1.5855048212093028,10194,10194,True,False,False,21.868700299877673
57,1,10056,-51.336106869012184,1000,0.32259693644685267,1.5825720041692257,11194,11194,False,True,False,24.473530899966136
